: magkasalungat-words
mahaba malapot  maikli  malabnaw
buhay matagal  patay  maigsi
nakaraan tulog  hinaharap   gising 
ilalim ihagis  ibabaw  saluhin
buhay itim  patay  puti
tulak tulog  hila   gising 
kongkreto takot  basal  matapang
natural tunay  artipisyal  peke
malaki malinis  maliit  marumi
malakas takot  mahina  matapang
maayos ngiti  magulo  simangot
umpisa tulog  wakas  gising 
harap tama  likod  mali
bago takot  luma   matapang
mabilis mayaman  mabagal  mahirap
ihagis masipag  saluhin  tamad
mabigat malalim  magaan  mababaw
dito puno  diyan  walang
mapagbigay takot  makasarili  matapang
tanong tulak  sagot  hila 
bata hawakan  matanda   bitawan
itim mataba  puti  payat
basa tandaan  tuyo   kalimutan
maayos magtagumpay  magulo  mabig
araw malinaw  gabi   malabo clear
natural puno  artipisyal  walang
matagal ngiti  maigsi  simangot
akyat mabangis  baba abante atras   maamo
akyat tulog  baba abante atras   gising 
tulog una  gising   huli
mabigat marami  magaan  iilan
maaga sobra  huli  kulang
malakas tanong  mahina  sagot
magkapareho simple  magkaiba  komplikado
basa manalo  tuyo   matalo
maayos mahal  magulo  mura expensive
lahat magalang  wala  bastos
malaki tandaan  maliit  kalimutan
malaki marami  maliit  iilan
tama tulak  mali  hila 
buo mabuti  kulang  masama
malakas umpisa  mahina  wakas
itim magkapareho  puti  magkaiba
matalim tulak  mapurol  hila 
masipag takot  tamad  matapang
posible umpisa  imposible  wakas
mataas tulak  mababa  hila 
manalo tanong  matalo  sagot
tunay una  peke  huli
abante langit  atras   lupa
mainit masikip  malamig  maluwag
umpisa sobra  wakas  kulang
itigil marami  ituloy   iilan
basa ikabit  tuyo   ihiwalay
ito matagal  iyan  maigsi
kanan mabilis  kaliwa  mabagal
ihagis matalim  saluhin  mapurol
matangkad simple  pandak  komplikado
itigil mag-ipon  ituloy   gumastos
kaibigan natural  kaaway  artipisyal
marami tulog  iilan  gising 
makapal matalim  manipis  mapurol
tandaan tulak  kalimutan  hila 
mataas una  mababa  huli
mabigat malaki  magaan  maliit
abante pagsilang  atras   pagkamatay
mabilis malakas  mabagal  mahina
ikabit ihagis  ihiwalay  saluhin
gutom hawakan  busog  bitawan
bakante gutom  okupado  busog
malinis matangkad  marumi  pandak
palagi umpisa  bihira  wakas
malalim umpisa  mababaw  wakas
umpisa tama  wakas  mali
pagsilang posible  pagkamatay  imposible
araw ito  gabi   iyan
makinis mataas  magaspang  mababa
mayaman pagsilang  mahirap  pagkamatay
maayos malakas  magulo  mahina
buo magalang  kulang  bastos
itigil ngiti  ituloy   simangot
magkapareho tama  magkaiba  mali
mabangis tanong  maamo  sagot
panalo magkapareho  talo  magkaiba
basa tulak  tuyo   hila 
hulihin mabigat  pakawalan  magaan
mataas takot  mababa  matapang
maayos marami  magulo  iilan
langit mataas  lupa  mababa
malapit suwerte  malayo  malas
itim ngiti  puti  simangot
maaraw tandaan  maulan  kalimutan
sobra tandaan  kulang  kalimutan
manalo tanong  matalo  sagot
mahal mahirap  mura expensive  madali
kanan matalim  kaliwa  mapurol
ito tunay  iyan  peke
maingay tandaan  tahimik  kalimutan
magtagumpay masaya  mabig  malungkot
maganda malapit  pangit  malayo
malawak tulog  makitid  gising 
buhay mainit  patay  malamig
mag-ipon mataas  gumastos  mababa
malinaw puno  malabo clear  walang
maganda mapagbigay  pangit  makasarili
araw bukas  gabi   sarado
dito maliwanag  diyan  madilim
magtiwala mainit  mag-alinlangan  malamig
babae malawak  lalaki   makitid
puno umpisa  walang  wakas
akyat lahat  baba   wala
mainit malinaw  malamig  malabo clear
hulihin takot  pakawalan  matapang
matalim matangkad  mapurol  pandak
malakas masikip  mahina  maluwag
bago malinis  luma   marumi
masaya suwerte  malungkot  malas
mainit malapot  malamig  malabnaw
panalo una  talo  huli
manalo mayaman  matalo  mahirap
akyat babae  baba abante atras   lalaki 
magalang natural  bastos  artipisyal
dumating magalang  umalis  bastos
dumating magtiwala  umalis  mag-alinlangan
babae takot  lalaki   matapang
baguhan kaibigan  beterano  kaaway
gutom lahat  busog  wala
baguhan palagi  beterano  bihira
malalim mataba  mababaw  payat
mahirap pagsilang  madali  pagkamatay
malakas maliwanag  mahina  madilim
malawak palagi  makitid  bihira
maingay posible  tahimik  imposible
dumating dito  umalis  diyan
malapot tulak  malabnaw  hila 
loob magalang  labas  bastos
mahal malakas  mura expensive  mahina
bata mag-ipon  matanda   gumastos
malapot matagal  malabnaw  maigsi
ilalim tulak  ibabaw  hila 
mabuti maliwanag  masama  madilim
mabangis mabigat  maamo  magaan
mataas tandaan  mababa  kalimutan
makinis pagsilang  magaspang  pagkamatay
masipag mataas  tamad  mababa
araw tulog  gabi   gising 
marami ngiti  iilan  simangot
tulak una  hila   huli
matangkad mayaman  pandak  mahirap
mabilis posible  mabagal  imposible
baguhan tandaan  beterano  kalimutan
mataas tunay  mababa  peke
hulihin tulog  pakawalan  gising 
makinis malambot  magaspang  matigas
nakaraan umpisa  hinaharap   wakas
bago matagal  luma   maigsi
matagal palagi  maigsi  bihira
bakante takot  okupado  matapang
mainit matangkad  malamig  pandak
dito magtiwala  diyan  mag-alinlangan
tama tunay  mali  peke
ngiti puno  simangot  walang
hulihin mabuti  pakawalan  masama
matalim sariwa  mapurol  bulok
posible tanong  imposible  sagot
ilalim marami  ibabaw  iilan
mabangis mapagbigay  maamo  makasarili
itim posible  puti  imposible
matalim sariwa  mapurol  bulok
marami mataas  iilan  mababa
maaraw mataas  maulan  mababa
ligtas malinis  mapanganib  marumi
ilalim ligtas  ibabaw  mapanganib
mahal umpisa  mura expensive  wakas
sariwa tanong  bulok  sagot
magtiwala malambot  mag-alinlangan  matigas
ikabit mabigat  ihiwalay  magaan
langit tanong  lupa  sagot
magalang masipag  bastos  tamad
ihagis mataba  saluhin  payat
itigil tulak  ituloy   hila 
dumating itigil  umalis  ituloy 
masaya posible  malungkot  imposible
harap mainit  likod  malamig
araw maaraw  gabi   maulan
babae langit  lalaki   lupa
akyat magtagumpay  baba   mabig
dito ito  diyan  iyan
ibigay mabigat  tanggapin  magaan
matalim sariwa  mapurol  bulok
baguhan ito  beterano  iyan
pagsilang panalo  pagkamatay  talo
mataba magkapareho  payat  magkaiba
tanong tunay  sagot  peke
makapal posible  manipis  imposible
takot tandaan  matapang  kalimutan
matalim natural  mapurol  artipisyal
matangkad tandaan  pandak  kalimutan
magtiwala malapot  mag-alinlangan  malabnaw
sobra takot  kulang  matapang
marami mataas  iilan  mababa
maliwanag tulog  madilim  gising 
panalo tulak  talo  hila 
matagal tunay  maigsi  peke
loob maliwanag  labas  madilim
maayos tanong  magulo  sagot
mag-ipon malapit  gumastos  malayo
natural tulak  artipisyal  hila 
loob mahal  labas  mura expensive
gutom mataas  busog  mababa
hawakan hulihin  bitawan  pakawalan
magalang magtagumpay  bastos  mabig
ikabit mataas  ihiwalay  mababa
bago mabangis  luma   maamo
itim malinaw  puti  malabo clear
mahiyain malawak  agresibo  makitid
tunay una  peke  huli
malinaw tulak  malabo clear  hila 
masikip tunay  maluwag  peke
itim mapagbigay  puti  makasarili
bakante puno  okupado  walang
itago maaga  ipakita  huli
mabangis malinis  maamo  marumi
kaibigan pagsilang  kaaway  pagkamatay
tulak tulog  hila   gising 
umpisa sobra  wakas  kulang
itim mataas  puti  mababa
pagsilang mataas  pagkamatay  mababa
malambot malinaw  matigas  malabo clear
bukas tanong  sarado  sagot
akyat palagi  baba abante atras   bihira
magtiwala mataas  mag-alinlangan  mababa
natural posible  artipisyal  imposible
bata simple  matanda   komplikado
tama tandaan  mali  kalimutan
panalo tunay  talo  peke
palagi tama  bihira  mali
ilalim malapot  ibabaw  malabnaw
itigil maliwanag  ituloy   madilim
tulog una  gising   huli
panalo puno  talo  walang
natural sobra  artipisyal  kulang
palagi sobra  bihira  kulang
hawakan kongkreto  bitawan  basal
makinis matangkad  magaspang  pandak
abante suwerte  atras   malas
mahal simple  mura expensive  komplikado
sariwa sobra  bulok  kulang
maingay malalim  tahimik  mababaw
puno una  walang  huli
dumating mahaba  umalis  maikli
baguhan buhay  beterano  patay
natural puno  artipisyal  walang
itigil panalo  ituloy   talo
sariwa tulak  bulok  hila 
masaya masipag  malungkot  tamad
malawak matalim  makitid  mapurol
magkapareho una  magkaiba  huli
araw tulog  gabi   gising 
mataas una  mababa  huli
matangkad pagsilang  pandak  pagkamatay
malambot matagal  matigas  maigsi
gutom makinis  busog  magaspang
mahirap natural  madali  artipisyal
araw masikip  gabi   maluwag
masikip panalo  maluwag  talo
malinaw manalo  malabo clear  matalo
maaraw natural  maulan  artipisyal
suwerte una  malas  huli
pagsilang magkapareho  pagkamatay  magkaiba
malinaw tama  malabo clear  mali
mayaman pagsilang  mahirap  pagkamatay
itago mabuti  ipakita  masama
makinis malawak  magaspang  makitid
maayos ngiti  magulo  simangot
itim tulak  puti  hila 
kaibigan tulak  kaaway  hila 
hulihin malinis  pakawalan  marumi
hulihin malapot  pakawalan  malabnaw
mag-ipon masaya  gumastos  malungkot
takot tandaan  matapang  kalimutan
harap tandaan  likod  kalimutan
malinis matangkad  marumi  pandak
marami matagal  iilan  maigsi
ayusin malaki  sirain   maliit
mainit malawak  malamig  makitid
ibigay malaki  tanggapin  maliit
abante bago  atras   luma 
bago malalim  luma   mababaw
matangkad panalo  pandak  talo
sobra una  kulang  huli
mabilis sobra  mabagal  kulang
magtiwala takot  mag-alinlangan  matapang
magtagumpay tandaan  mabig  kalimutan
mahiyain umpisa  agresibo  wakas
masikip tandaan  maluwag  kalimutan
malinaw mataas  malabo clear  mababa
maaraw mahal  maulan  mura expensive
makapal una  manipis  huli
ligtas mahiyain  mapanganib  agresibo
mainit maliwanag  malamig  madilim
palagi umpisa  bihira  wakas
itigil malinaw  ituloy   malabo clear
masikip tulak  maluwag  hila 
ikabit malambot  ihiwalay  matigas
kongkreto malawak  basal  makitid
suwerte tandaan  malas  kalimutan
bata maaraw  matanda   maulan
marami matangkad  iilan  pandak
ito mataba  iyan  payat
mabigat makapal  magaan  manipis
mainit malakas  malamig  mahina
matalim suwerte  mapurol  malas
mag-ipon mayaman  gumastos  mahirap
gutom mabuti  busog  masama
malaki mayaman  maliit  mahirap
abante masaya  atras   malungkot
mahirap nakaraan  madali  hinaharap 
bata tunay  matanda   peke
hulihin sobra  pakawalan  kulang
hulihin marami  pakawalan  iilan
mabuti ngiti  masama  simangot
araw ilalim  gabi   ibabaw
ngiti magkapareho  simangot  magkaiba
makinis matangkad  magaspang  pandak
maayos mayaman  magulo  mahirap
ayusin magkapareho  sirain   magkaiba
matangkad una  pandak  huli
puno tanong  walang  sagot
basa harap  tuyo   likod
ito mag-ipon  iyan  gumastos
mahirap manalo  madali  matalo
panalo tandaan  talo  kalimutan
masipag una  tamad  huli
itim mayaman  puti  mahirap
matagal puno  maigsi  walang
matangkad mataas  pandak  mababa
langit mabigat  lupa  magaan
malaki puno  maliit  walang
suwerte tulak  malas  hila 
palagi tulog  bihira  gising 
mag-ipon sariwa  gumastos  bulok
akyat malapot  baba   malabnaw
basa mabangis  tuyo   maamo
hulihin maaraw  pakawalan  maulan
bago maganda  luma   pangit
ito kanan  iyan  kaliwa
mabangis maganda  maamo  pangit
maganda malinis  pangit  marumi
umpisa tulak  wakas  hila 
malinis mataba  marumi  payat
buhay mabangis  patay  maamo
hulihin mag-ipon  pakawalan  gumastos
ayusin harap  sirain   likod
mapagbigay matangkad  makasarili  pandak
magtagumpay posible  mabig  imposible
malawak tulak  makitid  hila 
natural magkapareho  artipisyal  magkaiba
mabuti mainit  masama  malamig
maayos pagsilang  magulo  pagkamatay
kongkreto magtagumpay  basal  mabig
magalang puno  bastos  walang
pagsilang palagi  pagkamatay  bihira
takot tulog  matapang  gising 
masaya takot  malungkot  matapang
umpisa tulak  wakas  hila 
malambot malapot  matigas  malabnaw
malambot suwerte  matigas  malas
puno tanong  walang  sagot
akyat suwerte  baba   malas
itim puno  puti  walang
masaya mayaman  malungkot  mahirap
ilalim sobra  ibabaw  kulang
maaraw una  maulan  huli
kanan malinaw  kaliwa  malabo clear
mapagbigay tanong  makasarili  sagot
araw magkapareho  gabi   magkaiba
mainit tanong  malamig  sagot
mahirap mahiyain  madali  agresibo
ngiti panalo  simangot  talo
lahat natural  wala  artipisyal
mataba umpisa  payat  wakas
malinaw panalo  malabo clear  talo
matagal umpisa  maigsi  wakas
harap marami  likod  iilan
suwerte mataas  malas  mababa
mataas tulog  mababa  gising 
hinog mabigat  hilaw  magaan
mabigat simple  magaan  komplikado
bago magalang  luma   bastos
mataba tulog  payat  gising 
makinis puno  magaspang  walang
masipag una  tamad  huli
makapal malakas  manipis  mahina
akyat ikabit  baba abante atras   ihiwalay
sariwa mataas  bulok  mababa
mabilis tulog  mabagal  gising 
maliwanag tulak  madilim  hila 
ligtas masipag  mapanganib  tamad
malinaw posible  malabo clear  imposible
mabilis malinis  mabagal  marumi
kongkreto tama  basal  mali
malapot tunay  malabnaw  peke
araw maliwanag  gabi   madilim
kaibigan matalim  kaaway  mapurol
malinis mapagbigay  marumi  makasarili
malalim sobra  mababaw  kulang
malalim matangkad  mababaw  pandak
magalang takot  bastos  matapang
mainit malinis  malamig  marumi
pagsilang una  pagkamatay  huli
marami mayaman  iilan  mahirap
basa buo  tuyo   kulang
ito magalang  iyan  bastos
ayusin sariwa  sirain   bulok
maaraw palagi  maulan  bihira
mabangis panalo  maamo  talo
ibigay takot  tanggapin  matapang
akyat kaibigan  baba   kaaway
masikip masipag  maluwag  tamad
baguhan malalim  beterano  mababaw
natural tama  artipisyal  mali
ayusin dito  sirain   diyan
hinog langit  hilaw  lupa
akyat marami  baba   iilan
malapot masipag  malabnaw  tamad
hinog maaraw  hilaw  maulan
akyat araw  baba abante atras   gabi 
magalang malawak  bastos  makitid
puno tunay  walang  peke
mahiyain panalo  agresibo  talo
tulak una  hila   huli
kongkreto manalo  basal  matalo
bukas nakaraan  sarado  hinaharap 
hulihin itigil  pakawalan  ituloy 
kaibigan masaya  kaaway  malungkot
magtagumpay simple  mabig  komplikado
tandaan tanong  kalimutan  sagot
mainit tanong  malamig  sagot
malalim suwerte  mababaw  malas
mahiyain masipag  agresibo  tamad
maganda mapagbigay  pangit  makasarili
magtagumpay natural  mabig  artipisyal
akyat dito  baba   diyan
loob maaraw  labas  maulan
takot tulak  matapang  hila 
magalang posible  bastos  imposible
malapot nakaraan  malabnaw  hinaharap 
babae sobra  lalaki   kulang
sobra tulog  kulang  gising 
loob tulog  labas  gising 
mahaba matagal  maikli  maigsi
mag-ipon mahiyain  gumastos  agresibo
baguhan mataas  beterano  mababa
ito umpisa  iyan  wakas
mahal magkapareho  mura expensive  magkaiba
malapit mapagbigay  malayo  makasarili
ngiti una  simangot  huli
mahal masikip  mura expensive  maluwag
malinis simple  marumi  komplikado
pagsilang tulak  pagkamatay  hila 
babae simple  lalaki   komplikado
abante buhay  atras   patay
mapagbigay natural  makasarili  artipisyal
malinis tama  marumi  mali
masaya umpisa  malungkot  wakas
simple suwerte  komplikado  malas
itigil ito  ituloy   iyan
tama una  mali  huli
malinaw matalim  malabo clear  mapurol
malambot manalo  matigas  matalo
palagi puno  bihira  walang
magkapareho sariwa  magkaiba  bulok
araw mabuti  gabi   masama
kanan tulak  kaliwa  hila 
maingay tulak  tahimik  hila 
buhay malawak  patay  makitid
gutom simple  busog  komplikado
maaga maingay  huli  tahimik
manalo masaya  matalo  malungkot
tandaan una  kalimutan  huli
kaibigan maliwanag  kaaway  madilim
bago dumating  luma   umalis
akyat mag-ipon  baba abante atras   gumastos
lahat maingay  wala  tahimik
dumating malinaw  umalis  malabo clear
kongkreto matagal  basal  maigsi
matalim tanong  mapurol  sagot
ito posible  iyan  imposible
magtiwala tulak  mag-alinlangan  hila 
maaga una  huli  huli
matangkad tanong  pandak  sagot
ihagis tama  saluhin  mali
itigil malalim  ituloy   mababaw
takot una  matapang  huli
mainit malambot  malamig  matigas
akyat lahat  baba abante atras   wala
mabuti tama  masama  mali
malawak masikip  makitid  maluwag
maayos mabilis  magulo  mabagal
takot tanong  matapang  sagot
manalo palagi  matalo  bihira
maganda malalim  pangit  mababaw
bakante ibigay  okupado  tanggapin
araw maingay  gabi   tahimik
matangkad tandaan  pandak  kalimutan
malalim sariwa  mababaw  bulok
malambot sariwa  matigas  bulok
ilalim umpisa  ibabaw  wakas
loob mapagbigay  labas  makasarili
buhay nakaraan  patay  hinaharap 
malapit simple  malayo  komplikado
kaibigan masikip  kaaway  maluwag
maaga maaraw  huli  maulan
magkapareho tanong  magkaiba  sagot
dito kongkreto  diyan  basal
puno tama  walang  mali
mataas tulog  mababa  gising 
hawakan malinis  bitawan  marumi
mataba umpisa  payat  wakas
malinaw palagi  malabo clear  bihira
magalang mayaman  bastos  mahirap
nakaraan natural  hinaharap   artipisyal
posible simple  imposible  komplikado
tanong una  sagot  huli
umpisa tama  wakas  mali
ligtas matagal  mapanganib  maigsi
matalim tunay  mapurol  peke
akyat bukas  baba abante atras   sarado
abante malambot  atras   matigas
mahal masipag  mura expensive  tamad
makapal pagsilang  manipis  pagkamatay
mabangis malaki  maamo  maliit
ilalim malaki  ibabaw  maliit
tama tunay  mali  peke
mahal tandaan  mura expensive  kalimutan
masipag posible  tamad  imposible
malaki natural  maliit  artipisyal
ligtas natural  mapanganib  artipisyal
mataba mataas  payat  mababa
akyat malakas  baba   mahina
ihagis una  saluhin  huli
matagal natural  maigsi  artipisyal
bukas dito  sarado  diyan
kanan magtiwala  kaliwa  mag-alinlangan
maganda mahaba  pangit  maikli
panalo una  talo  huli
itim masaya  puti  malungkot
makinis puno  magaspang  walang
maliwanag ngiti  madilim  simangot
hinog mabilis  hilaw  mabagal
magtagumpay malakas  mabig  mahina
ito mayaman  iyan  mahirap
maayos maganda  magulo  pangit
magalang mataas  bastos  mababa
sobra tulog  kulang  gising 
babae bakante  lalaki   okupado
araw baguhan  gabi   beterano
mataba matagal  payat  maigsi
mataba sobra  payat  kulang
babae tunay  lalaki   peke
magtagumpay umpisa  mabig  wakas
hawakan umpisa  bitawan  wakas
buhay masikip  patay  maluwag
basa maingay  tuyo   tahimik
bukas malaki  sarado  maliit
malambot natural  matigas  artipisyal
dito posible  diyan  imposible
buo una  kulang  huli
malawak nakaraan  makitid  hinaharap 
dito tandaan  diyan  kalimutan
ligtas matagal  mapanganib  maigsi
itago tulak  ipakita  hila 
kaibigan malaki  kaaway  maliit
mapagbigay palagi  makasarili  bihira
basa ito  tuyo   iyan
mahal ngiti  mura expensive  simangot
magkapareho takot  magkaiba  matapang
malambot mayaman  matigas  mahirap
bago itigil  luma   ituloy 
dumating hawakan  umalis  bitawan
maayos maganda  magulo  pangit
malambot una  matigas  huli
mabigat tama  magaan  mali
matagal natural  maigsi  artipisyal
posible tulak  imposible  hila 
malinaw tulog  malabo clear  gising 
ligtas malakas  mapanganib  mahina
maliwanag mayaman  madilim  mahirap
malambot panalo  matigas  talo
